Date,Open,High,Low,Close,Adj Close,Volume
6/13/2019,7822.560059,7848.359863,7813.600098,7837.129883,7837.129883,1838930000
6/14/2019,7807.189941,7819.209961,7778.120117,7796.660156,7796.660156,1804340000
6/17/2019,7819.430176,7865.97998,7812.609863,7845.02002,7845.02002,1935290000
6/18/2019,7920.97998,8005.209961,7911.669922,7953.879883,7953.879883,2244920000
6/19/2019,7970.259766,7998.589844,7930.379883,7987.319824,7987.319824,2014080000
6/20/2019,8087.450195,8088.879883,7996.870117,8051.339844,8051.339844,2053530000
6/21/2019,8028.689941,8073.02002,8011.200195,8031.709961,8031.709961,2894340000
6/24/2019,8040.580078,8047.560059,8004.629883,8005.700195,8005.700195,2070370000
6/25/2019,8005.27002,8007.310059,7879.149902,7884.720215,7884.720215,2127310000
6/26/2019,7933.919922,7974.279785,7903.069824,7909.970215,7909.970215,2104750000
6/27/2019,7939.359863,7976.580078,7935.470215,7967.759766,7967.759766,2023120000
6/28/2019,7988.759766,8010.149902,7961.459961,8006.240234,8006.240234,4078990000
7/1/2019,8145.850098,8150.450195,8059.290039,8091.160156,8091.160156,2208900000
7/2/2019,8086.649902,8109.370117,8063.109863,8109.089844,8109.089844,1946320000
7/3/2019,8129.569824,8170.22998,8122.339844,8170.22998,8170.22998,1548190000
7/5/2019,8123.279785,8171.970215,8093.660156,8161.790039,8161.790039,149410000
7/8/2019,8112.910156,8161.790039,8078.390137,8098.379883,8098.379883,177320000
7/9/2019,8061.410156,8146.97998,8061.319824,8141.72998,8141.72998,1866770000
7/10/2019,8183.189941,8228.599609,8160.560059,8202.530273,8202.530273,2060510000
7/11/2019,8219.280273,8226.179688,8171.629883,8196.040039,8196.040039,1966970000
7/12/2019,8209.200195,8245.660156,8201.519531,8244.139648,8244.139648,1824870000
7/15/2019,8263.179688,8264.780273,8236.269531,8258.19043,8258.19043,1783980000
7/16/2019,8251.660156,8259.75,8204.230469,8222.799805,8222.799805,1933960000
7/17/2019,8224,8230.669922,8184.660156,8185.209961,8185.209961,1846960000
7/18/2019,8151.759766,8215.580078,8135.120117,8207.240234,8207.240234,2016310000
7/19/2019,8241.339844,8245.780273,8144.629883,8146.490234,8146.490234,1878730000
7/22/2019,8171.990234,8218.419922,8171.540039,8204.139648,8204.139648,1845770000
7/23/2019,8242.5,8251.830078,8193.889648,8251.400391,8251.400391,1832220000
7/24/2019,8227.360352,8321.80957,8226.5,8321.5,8321.5,1947550000
7/25/2019,8294.679688,8295.950195,8233.400391,8238.540039,8238.540039,2023130000
7/26/2019,8294.299805,8339.639648,8291.120117,8330.209961,8330.209961,1954350000
7/29/2019,8325.099609,8325.280273,8247.370117,8293.330078,8293.330078,1874780000
7/30/2019,8231.769531,8295.459961,8228.019531,8273.610352,8273.610352,1884300000
7/31/2019,8290.799805,8299.830078,8110.02002,8175.419922,8175.419922,2667060000
8/1/2019,8190.560059,8311.040039,8080.52002,8111.120117,8111.120117,2792650000
8/2/2019,8056.419922,8068.799805,7953.669922,8004.069824,8004.069824,2252550000
8/5/2019,7823.330078,7836.450195,7662.899902,7726.040039,7726.040039,2636740000
8/6/2019,7804.509766,7845.009766,7739.569824,7833.27002,7833.27002,2201610000
8/7/2019,7747.27002,7881.379883,7702.419922,7862.830078,7862.830078,2453230000
8/8/2019,7921.589844,8041.120117,7896.149902,8039.160156,8039.160156,2415670000
8/9/2019,7997.189941,8020.560059,7910.350098,7959.140137,7959.140137,2224330000
8/12/2019,7907.490234,7924.990234,7833.790039,7863.410156,7863.410156,2056360000
8/13/2019,7852.370117,8065.240234,7851.580078,8016.359863,8016.359863,2346980000
8/14/2019,7877.330078,7900.279785,7762.870117,7773.939941,7773.939941,2522870000
8/15/2019,7790.200195,7805.930176,7716.549805,7766.620117,7766.620117,2182590000
8/16/2019,7828.350098,7907.52002,7828.350098,7895.990234,7895.990234,1995130000
8/19/2019,8006.180176,8026.75,7895.990234,8002.810059,8002.810059,1934980000
8/20/2019,7989.359863,8010.580078,7948.089844,7948.560059,7948.560059,1747580000
8/21/2019,8017.069824,8036.939941,7998.5,8020.209961,8020.209961,1716370000
8/22/2019,8038.790039,8048.580078,7937.120117,7991.390137,7991.390137,1777630000
8/23/2019,7943.649902,8005.339844,7730.77002,7751.77002,7751.77002,2207070000
8/26/2019,7829.580078,7856.040039,7789.049805,7853.740234,7853.740234,1688860000
8/27/2019,7908.779785,7916.830078,7795.180176,7826.950195,7826.950195,1913760000
8/28/2019,7798.350098,7866.870117,7766.669922,7856.879883,7856.879883,1656930000
8/29/2019,7945.779785,7992.290039,7925.830078,7973.390137,7973.390137,1700840000
8/30/2019,8015.160156,8017.910156,7914.740234,7962.879883,7962.879883,1665840000
9/3/2019,7906.439941,7940.370117,7847.319824,7874.160156,7874.160156,1936210000
